extension,name,price,language,sellerType,minCondition,isSigned,isFirstEd,isPlayset,isAltered
Jungle, Pikachu  (JU 60), 17.00 €, 1;2, 0;1, 3, N, Y, N, N
Team Rocket, Arbok obscur  (TR 19), 5.00 €, None, None, None, None, None, None, None
